filename,item_id,order,devoiced
181_Ralphy_6,6,1,NA
181_Ralphy_6,6,2,NA
181_Ralphy_6,6,3,NA
181_Ralphy_7,7,1,NA
181_Ralphy_7,7,2,NA
181_Ralphy_7,7,3,NA
181_Ralphy_8,8,1,NA
181_Ralphy_8,8,2,NA
181_Ralphy_8,8,3,NA
189_てだ２００_1,1,1,NA
189_てだ２００_1,1,2,NA
189_てだ２００_1,1,3,NA
189_てだ２００_2,2,1,NA
189_てだ２００_2,2,2,NA
189_てだ２００_2,2,3,NA
189_てだ２００_3,3,1,NA
189_てだ２００_3,3,2,NA
189_てだ２００_3,3,3,NA
189_てだ２００_4,4,1,NA
189_てだ２００_4,4,2,NA
189_てだ２００_4,4,3,NA
189_てだ２００_5,5,1,NA
189_てだ２００_5,5,2,NA
189_てだ２００_5,5,3,NA
189_てだ２００_6,6,1,NA
189_てだ２００_6,6,2,NA
189_てだ２００_6,6,3,NA
189_てだ２００_7,7,1,NA
189_てだ２００_7,7,2,NA
189_てだ２００_7,7,3,NA
189_てだ２００_8,8,1,NA
189_てだ２００_8,8,2,NA
189_てだ２００_8,8,3,NA
191_kxc1205_1,1,1,NA
191_kxc1205_1,1,2,NA
191_kxc1205_1,1,3,NA
191_kxc1205_2,2,1,NA
191_kxc1205_2,2,2,NA
191_kxc1205_2,2,3,NA
191_kxc1205_3,3,1,NA
191_kxc1205_3,3,2,NA
191_kxc1205_3,3,3,NA
191_kxc1205_4,4,1,NA
191_kxc1205_4,4,2,NA
191_kxc1205_4,4,3,NA
191_kxc1205_5,5,1,NA
191_kxc1205_5,5,2,NA
191_kxc1205_5,5,3,NA
191_kxc1205_6,6,1,NA
191_kxc1205_6,6,2,NA
191_kxc1205_6,6,3,NA
191_kxc1205_7,7,1,NA
191_kxc1205_7,7,2,NA
191_kxc1205_7,7,3,NA
191_kxc1205_8,8,1,NA
191_kxc1205_8,8,2,NA
191_kxc1205_8,8,3,NA
196_スイートバジル_1,1,1,NA
196_スイートバジル_1,1,2,NA
196_スイートバジル_1,1,3,NA
196_スイートバジル_2,2,1,NA
196_スイートバジル_2,2,2,NA
196_スイートバジル_2,2,3,NA
196_スイートバジル_3,3,1,NA
196_スイートバジル_3,3,2,NA
196_スイートバジル_3,3,3,NA
196_スイートバジル_4,4,1,NA
196_スイートバジル_4,4,2,NA
196_スイートバジル_4,4,3,NA
196_スイートバジル_5,5,1,NA
196_スイートバジル_5,5,2,NA
196_スイートバジル_5,5,3,NA
196_スイートバジル_6,6,1,NA
196_スイートバジル_6,6,2,NA
196_スイートバジル_6,6,3,NA
196_スイートバジル_7,7,1,NA
196_スイートバジル_7,7,2,NA
196_スイートバジル_7,7,3,NA
196_スイートバジル_8,8,1,NA
196_スイートバジル_8,8,2,NA
196_スイートバジル_8,8,3,NA
199_coincidence_1,1,1,NA
199_coincidence_1,1,2,NA
199_coincidence_1,1,3,NA
199_coincidence_2,2,1,NA
199_coincidence_2,2,2,NA
199_coincidence_2,2,3,NA
199_coincidence_3,3,1,NA
199_coincidence_3,3,2,NA
199_coincidence_3,3,3,NA
199_coincidence_4,4,1,NA
199_coincidence_4,4,2,NA
199_coincidence_4,4,3,NA
199_coincidence_5,5,1,NA
199_coincidence_5,5,2,NA
199_coincidence_5,5,3,NA
199_coincidence_6,6,1,NA
199_coincidence_6,6,2,NA
199_coincidence_6,6,3,NA
199_coincidence_7,7,1,NA
199_coincidence_7,7,2,NA
199_coincidence_7,7,3,NA
199_coincidence_8,8,1,NA
199_coincidence_8,8,2,NA
199_coincidence_8,8,3,NA
19_k0s9y2t9_1,1,1,NA
19_k0s9y2t9_1,1,2,NA
19_k0s9y2t9_1,1,3,NA
19_k0s9y2t9_2,2,1,NA
19_k0s9y2t9_2,2,2,NA
